FacilityReportID,WasteTransferID,FacilityID,WasteTypeCode,WasteTreatmentCode,MethodCode,MethodDesignation,MethodTypeCode,Quantity,UnitCode,WHPName,WHPAddress,WHPCity,WHPPostalCode,WHPCountryCode,WHPSiteAddress,WHPSiteCity,WHPSitePostalCode,WHPSiteCountryCode,ConfidentialIndicator,ConfidentialCode,LOV_WasteTypeID,LOV_WasteTreatmentID,LOV_MethodBasisID,LOV_ConfidentialityID
965225,1625900,7019,NON-HW,R,M,PESO,WEIGH,26600.0,TNE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,2,1,1,NULL
965225,1625901,7019,NON-HW,D,M,PESO,WEIGH,8430.0,TNE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,2,2,1,NULL
968109,1631764,7019,HWIC,D,M,PESO,WEIGH,2680.0,TNE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,3,2,1,NULL
968109,1631765,7019,NON-HW,R,M,PESO,WEIGH,94600.0,TNE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,2,1,1,NULL
968109,1631763,7019,HWIC,R,M,PESO,WEIGH,10800.0,TNE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,3,1,1,NULL
968109,1631766,7019,NON-HW,D,M,PESO,WEIGH,10100.0,TNE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,2,2,1,NULL
971094,1637943,7019,HWIC,D,M,PESO,WEIGH,9630.0,TNE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,3,2,1,NULL
971094,1637944,7019,NON-HW,R,M,PESO,WEIGH,32900.0,TNE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,2,1,1,NULL
971094,1637942,7019,HWIC,R,M,PESO,WEIGH,5230.0,TNE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,3,1,1,NULL
971094,1637945,7019,NON-HW,D,M,PESO,WEIGH,10000.0,TNE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,2,2,1,NULL
974127,1644174,7019,HWIC,R,M,PESO,WEIGH,5210.0,TNE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,3,1,1,NULL
974127,1644177,7019,NON-HW,D,M,PESO,WEIGH,16600.0,TNE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,2,2,1,NULL
974127,1644175,7019,HWIC,D,M,PESO,WEIGH,20000.0,TNE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,3,2,1,NULL
974127,1644176,7019,NON-HW,R,M,PESO,WEIGH,45000.0,TNE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,2,1,1,NULL
977567,1651097,7019,NON-HW,R,M,PESO,WEIGH,52600.0,TNE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,2,1,1,NULL
977567,1651095,7019,HWIC,R,M,PESO,WEIGH,447.0,TNE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,3,1,1,NULL
977567,1651094,7019,NON-HW,D,M,PESO,WEIGH,149000.0,TNE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,2,2,1,NULL
977567,1651096,7019,HWIC,D,M,PESO,WEIGH,16000.0,TNE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,3,2,1,NULL
38135,25437,7019,HWIC,R,M,NULL,OTH,14900.0,TNE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,3,1,1,NULL
38135,25438,7019,HWIC,D,M,NULL,OTH,725.0,TNE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,3,2,1,NULL
38135,25439,7019,NON-HW,R,M,NULL,OTH,46800.0,TNE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,2,1,1,NULL
38135,25440,7019,NON-HW,D,M,NULL,OTH,1800.0,TNE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,2,2,1,NULL
113400,155026,7019,HWIC,R,M,NULL,OTH,14900.0,TNE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,3,1,1,NULL
113400,154569,7019,HWIC,D,M,NULL,OTH,725.0,TNE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,3,2,1,NULL
113400,151917,7019,NON-HW,R,M,NULL,OTH,46800.0,TNE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,2,1,1,NULL
113400,151923,7019,NON-HW,D,M,NULL,OTH,1800.0,TNE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,2,2,1,NULL
214104,307455,7019,HWIC,R,M,CRM(bilici stradali),WEIGH,14900.0,TNE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,3,1,1,NULL
214104,307456,7019,HWIC,D,M,CRM(bilici stradali),WEIGH,725.0,TNE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,3,2,1,NULL
214104,307457,7019,NON-HW,R,M,CRM(bilici stradali),WEIGH,46800.0,TNE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,2,1,1,NULL
214104,307458,7019,NON-HW,D,M,CRM(bilici stradali),WEIGH,1800.0,TNE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,2,2,1,NULL
216586,312438,7019,HWIC,R,M,CRM (bilici stradali),WEIGH,12100.0,TNE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,3,1,1,NULL
216586,312439,7019,HWIC,D,M,CRM (bilici stradali),WEIGH,1030.0,TNE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,3,2,1,NULL
216586,312440,7019,HWOC,R,M,CRM (bilici stradali),WEIGH,1310.0,TNE,Industrial Quality Recycling AB,Stallbackavagen 26,Trollhattan,46138,SE,Stallbackavagen 26,Trollhattan,46138,SE,0,NULL,4,1,1,NULL
216586,312441,7019,NON-HW,D,M,CRM (bilici stradali),WEIGH,1480.0,TNE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,2,2,1,NULL
216586,312442,7019,NON-HW,R,M,CRM (bilici stradali),WEIGH,103000.0,TNE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,2,1,1,NULL
219189,317575,7019,HWIC,R,M,PESO,WEIGH,9840.0,TNE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,3,1,1,NULL
219189,317576,7019,HWIC,D,M,PESO,WEIGH,2680.0,TNE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,3,2,1,NULL
219189,317577,7019,NON-HW,R,M,PESO,WEIGH,26600.0,TNE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,2,1,1,NULL
219189,317578,7019,NON-HW,D,M,PESO,WEIGH,8430.0,TNE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,2,2,1,NULL
372908,568670,7019,HWIC,D,M,PESO,WEIGH,2680.0,TNE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,3,2,1,NULL
372908,568671,7019,NON-HW,R,M,PESO,WEIGH,94600.0,TNE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,2,1,1,NULL
372908,568669,7019,HWIC,R,M,PESO,WEIGH,10800.0,TNE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,3,1,1,NULL
372908,568672,7019,NON-HW,D,M,PESO,WEIGH,10100.0,TNE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,2,2,1,NULL
396074,608580,7019,HWIC,D,M,PESO,WEIGH,2680.0,TNE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,3,2,1,NULL
396074,608581,7019,NON-HW,R,M,PESO,WEIGH,94600.0,TNE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,2,1,1,NULL
396074,608579,7019,HWIC,R,M,PESO,WEIGH,10800.0,TNE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,3,1,1,NULL
396074,608582,7019,NON-HW,D,M,PESO,WEIGH,10100.0,TNE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,2,2,1,NULL
557136,886296,7019,HWIC,R,M,PESO,WEIGH,5230.0,TNE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,3,1,1,NULL
557136,886299,7019,NON-HW,D,M,PESO,WEIGH,10000.0,TNE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,2,2,1,NULL
557136,886297,7019,HWIC,D,M,PESO,WEIGH,9630.0,TNE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,3,2,1,NULL
557136,886298,7019,NON-HW,R,M,PESO,WEIGH,32900.0,TNE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,2,1,1,NULL
